lat	lon	essence	anne_plant
48.8616373033	2.35516348044	Sorbier	2006
48.8925715704	2.30296890638	Noisetier de Byzance	1990
48.8498949942	2.30724701345	Platane	1996
48.8893209187	2.36713341505	Pin	2006
48.8875931497	2.39483181677	Platane	2013
48.8507696342	2.40015583303	Orme	2005
48.8267650894	2.33043194731	Tilleul	2010
48.8479142488	2.25191016368	Marronnier	1998
48.8406161035	2.39466568173	Platane	1989
48.8428901627	2.33709882997	Marronnier	2012
48.8252735486	2.30499635675	Tilleul	2009
48.8650310409	2.37619309112	Tilleul	1999
48.8879619211	2.33546403006	Sophora	2000
48.8489819902	2.27083507542	Sophora	1962
48.8496578246	2.41151836982	Charme	2011
48.8903446073	2.3858933281	Noisetier de Byzance	2003
48.8404494901	2.25830397733	Erable	1992
48.89436984	2.32605373798	Marronnier	2007
48.8394032291	2.32105901065	Chêne	1995
48.8194961846	2.35335465662	Peuplier	1987
48.876845785	2.36115072397	Frêne	1987
48.8360306925	2.40181467738	Bouleau	1993
48.8291112123	2.33441227774	Platane	1930
48.841853195	2.275166227	Chêne	1991
48.8486077042	2.35915849338	Magnolia	2008
48.8251432876	2.3674237723	Sorbier	2004
48.8505317227	2.36702122265	Sophora	2009
48.8501619524	2.36126808707	Platane	1993
48.8262166348	2.35868395657	Sophora	1996
48.8462951855	2.40431957395	Fevier	2007
48.8886657739	2.34969566274	Charme-Houblon	2006
48.8666889071	2.24844721425	Noisetier de Byzance	1989
48.86431674	2.37914264527	Tilleul	1993
48.8157408514	2.34414833926	Charme	2004
48.8357462569	2.31601133753	Frêne à fleurs	1986
48.8770317642	2.27662887816	Erable	2010
48.8302266425	2.37869630482	Frêne à fleurs	2000
48.8470540776	2.25397000469	Cerisier à fleurs	2007
48.8667584041	2.31565088537	Marronnier	2000
48.8934191122	2.346248059	Poirier à fleurs	2011
48.8906155255	2.36008430703	Platane	1990
48.8446747613	2.2613416259	Erable	1993
48.866817486	2.31577416873	Marronnier	1988
48.8965283835	2.31340360592	Micocoulier	1990
48.8762575231	2.37209907404	Platane	1993
48.8910036113	2.35290852467	Erable	1992
48.8790003493	2.30926785133	Tulipier	1961
48.8697914011	2.30678526234	Platane	1994
48.899541273	2.34501115394	Charme	1992
48.8598915451	2.40930695646	Platane	2007
48.8757434869	2.28388166166	Tilleul	1991
48.874043261	2.3840775128	Platane	2009
48.8561225162	2.37058492876	Sophora	2009
48.8744803856	2.29328986673	Platane	1988
48.8425106405	2.39091011243	Fevier	1995
48.8418046541	2.37244348221	Platane	1996
