lat	lon	essence	anne_plant
48.8729409016	2.37709459564	Marronnier	1905
48.8730793858	2.37683986338	Marronnier	1905
48.863764038	2.39663380094	Marronnier	1905
48.8732914827	2.37703083349	Pommier à fruits	1905
48.84714675	2.25198354276	Pterocarya	1905
48.8449157521	2.35367164073	Hêtre	1905
48.8730096332	2.37730325931	Marronnier	1905
48.8731692996	2.37684467503	Marronnier	1905
48.8636774257	2.3966272792	Marronnier	1905
48.8584435751	2.39673581872	Platane	1905
48.8727359801	2.37727222429	Marronnier	1905
48.8635962595	2.3953266203	Tilleul	1905
48.8632182127	2.39712152778	Marronnier	1905
48.8624468488	2.39718273109	Tilleul	1905
48.8625311046	2.39341093261	Orme	1905
48.8625598173	2.38917590752	Tilleul	1905
48.8733983721	2.3768871423	Pommier à fruits	1905
48.8769348041	2.28429707395	Platane	1916
48.8826106757	2.39011244999	Platane	1916
48.8626183928	2.40669823983	Marronnier	1916
48.8761231524	2.2868525184	Platane	1916
48.8638953043	2.40793357272	Marronnier	1916
48.8398480174	2.37863488726	Platane	1916
48.8823010274	2.3920807116	Platane	1916
48.8827586659	2.38944021616	Platane	1916
48.8497975419	2.36431339764	Tilleul	1916
48.8826447683	2.39051131156	Platane	1916
48.8826699788	2.39039288923	Platane	1916
48.8827835919	2.38932262828	Platane	1916
48.8822534268	2.39230052805	Platane	1916
48.882856387	2.38898949683	Platane	1916
48.8490527275	2.36297592079	Tilleul	1916
48.8497343292	2.36180270743	Marronnier	1916
48.8499792274	2.36187265677	Marronnier	1916
48.8821397738	2.39225011839	Platane	1916
48.8761493167	2.28838286973	Platane	1916
48.882362696	2.3912388013	Platane	1916
48.8760214772	2.28878602858	Platane	1916
48.850562727	2.38450241794	Platane	1916
48.8494138936	2.3636395302	Tilleul	1916
48.8500222086	2.36194763126	Marronnier	1916
48.8811771487	2.39664887745	Platane	1916
48.8825940815	2.39072857777	Platane	1916
48.8749672215	2.29050229345	Platane	1916
48.8822380726	2.39179941686	Platane	1916
48.8526462034	2.38305567707	Platane	1916
48.8399519868	2.37883592095	Platane	1916
48.8765086046	2.28724836107	Platane	1916
48.8763115284	2.28787229848	Platane	1916
48.882324126	2.39197591158	Platane	1916
48.8813439126	2.39589318308	Platane	1916
48.8630811734	2.40714953598	Marronnier	1916
48.8812468664	2.3963285404	Platane	1916
48.8825640635	2.39032800325	Platane	1916
48.8824133926	2.39100960503	Platane	1916
48.882976644	2.38842716146	Platane	1916
48.8763045847	2.28756555341	Platane	1916
48.8816530508	2.39504477217	Platane	1916
48.8823883254	2.39112292484	Platane	1916
48.8399189248	2.37896532689	Platane	1916
48.8823703185	2.39174842092	Platane	1916
48.8811982728	2.39655260074	Platane	1916
48.8814426439	2.39543823648	Platane	1916
48.8813712283	2.39578072726	Platane	1916
48.864248751	2.40806526844	Marronnier	1916
48.849981253	2.36225250255	Marronnier	1916
48.8759766647	2.28731791475	Platane	1916
48.8827906565	2.38983737232	Platane	1916
48.8826343299	2.38999572373	Platane	1916
48.8831371858	2.38825687543	Platane	1916
48.8757324315	2.28808503536	Platane	1916
48.8498978219	2.36210001366	Marronnier	1916
48.8500646969	2.36202941214	Marronnier	1916
48.8628630114	2.40673180414	Marronnier	1916
48.8816399614	2.39453939819	Platane	1916
48.8815172913	2.39510170538	Platane	1916
48.8825109762	2.39056741611	Platane	1916
48.8828064001	2.38921101145	Platane	1916
48.8493379096	2.36349982367	Tilleul	1916
48.8641906289	2.40821937215	Marronnier	1916
48.881697563	2.39482495745	Platane	1916
48.8762061475	2.28658913229	Platane	1916
48.8814663034	2.39532662885	Platane	1916
48.8825036738	2.39115713929	Platane	1916
48.876189658	2.28825586424	Platane	1916
48.8491582016	2.3631692954	Tilleul	1916
48.8830298661	2.3881851788	Platane	1916
48.8812972805	2.39611385263	Platane	1916
48.8631944164	2.40704832329	Marronnier	1916
48.8493113794	2.36307739646	Tilleul	1916
48.8742789351	2.29265611515	Platane	1916
48.8820683813	2.39257131908	Platane	1916
48.8753400301	2.29092372083	Platane	1916
48.881538981	2.39499179842	Platane	1916
48.8492451607	2.36295217502	Tilleul	1916
48.839592462	2.37815869732	Platane	1916
48.8752796626	2.28950420665	Platane	1916
48.8633018415	2.40715665638	Marronnier	1916
48.8817902305	2.39385952715	Platane	1916
48.8817983989	2.39437255718	Platane	1916
48.8618879543	2.40599103889	Marronnier	1916
48.8812712326	2.39622289753	Platane	1916
48.8815902426	2.39476432109	Platane	1916
48.8828178267	2.38972064356	Platane	1916
48.8501429809	2.36254640008	Marronnier	1916
48.8828448707	2.38959029374	Platane	1916
48.8822625739	2.39168949996	Platane	1916
48.8822125908	2.39191272727	Platane	1916
48.8828303413	2.38909768981	Platane	1916
48.8627720772	2.40664394153	Marronnier	1916
48.8815994008	2.39527480096	Platane	1916
48.8816246025	2.39516404696	Platane	1916
48.8393747399	2.37796353368	Platane	1916
48.8816746101	2.394928894	Platane	1916
48.8393975568	2.37800528138	Platane	1916
48.8822889052	2.39157362908	Platane	1916
48.8630889554	2.40694765511	Marronnier	1916
48.8822782163	2.39218380354	Platane	1916
48.8759833775	2.28890621145	Platane	1916
48.8812186999	2.39645378248	Platane	1916
48.882541978	2.39096372394	Platane	1916
48.8821896271	2.39202434341	Platane	1916
48.8825188893	2.39107193377	Platane	1916
48.8818183941	2.39374110008	Platane	1916
48.8817216536	2.39470823032	Platane	1916
48.8396425858	2.37826092557	Platane	1916
48.8816898147	2.39431448684	Platane	1916
48.8816644653	2.39443461099	Platane	1916
48.8741697551	2.29300725744	Platane	1916
48.8502265688	2.36232160422	Marronnier	1916
48.8395172004	2.37818758839	Platane	1916
48.8821155552	2.39236258122	Platane	1916
48.8770571137	2.28552739658	Platane	1916
48.8510996273	2.3839885258	Platane	1916
48.882208083	2.39250841255	Platane	1916
48.8827322016	2.38954925924	Platane	1916
48.8824611257	2.39078809414	Platane	1916
48.8490978983	2.36268809035	Tilleul	1916
48.8618712282	2.37933481947	Sophora	1920
48.8619050212	2.37924411289	Sophora	1920
48.8245812053	2.33597279056	Platane	1920
48.8306598474	2.33383244751	Platane	1920
48.823615916	2.3649689303	Orme	1920
48.8309722033	2.3337158047	Platane	1920
48.8323735156	2.33319043346	Platane	1920
48.8243406857	2.36379551937	Marronnier	1920
48.8271396356	2.33501251684	Platane	1920
48.8316697019	2.33345524214	Platane	1920
48.8313194733	2.33358552357	Platane	1920
48.8325790986	2.33311045856	Platane	1920
48.8318071881	2.33340331084	Platane	1920
48.8249340303	2.33584000281	Platane	1920
48.8617545104	2.37936259966	Sophora	1920
48.826167374	2.33551990386	Platane	1920
48.8618893229	2.37929652552	Sophora	1920
48.8407373437	2.32554253384	Sophora	1922
48.8406568674	2.32592998661	Sophora	1922
48.8399351577	2.32793963735	Cedrele	1922
48.8406815165	2.32585759389	Sophora	1922
48.8406357131	2.32664353811	Sophora	1922
48.8401199075	2.32817810988	Sophora	1922
48.8396557445	2.32892398987	Cedrele	1922
48.8415108906	2.32380443784	Pterocarya	1922
48.8404553892	2.3268819948	Sophora	1922
48.8400115803	2.32771142329	Sophora	1922
48.8409341952	2.3254513776	Sophora	1922
48.8398253095	2.32841477934	Cedrele	1922
48.8402949999	2.32701230242	Sophora	1922
48.840911735	2.32501541445	Sophora	1922
48.8398107641	2.32831259996	Cedrele	1922
48.8405370411	2.32628934171	Sophora	1922
48.8408680465	2.32514741386	Sophora	1922
48.8408212898	2.32543863239	Sophora	1922
48.8403677004	2.3267968607	Sophora	1922
48.8409503004	2.32570256545	Sophora	1922
48.8404711483	2.32633873142	Sophora	1922
48.8397129832	2.32860126394	Cedrele	1922
48.8407610163	2.32546929559	Sophora	1922
48.8409257242	2.32577664713	Sophora	1922
